=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.04.09 16:10:48 =~=~=~=~=~=~=~=~=~=~=~=
Tem3,Setpoint:95.50,Temperature:46.44,Duty:100.00,
Time:0:0:15,Ideal:81.14,Setpoint:95.50,Temperature:76.05,Duty:100.00,
Time:0:0:15,Ideal:81.14,Setpoint:95.50,Temperature:76.19,Duty:100.00,
Time:0:0:15,Ideal:81.14,Setpoint:95.50,Temperature:76.26,Duty:100.00,
Time:0:0:15,Ideal:81.14,Setpoint:95.50,Temperature:76.39,Duty:100.00,
Time:0:0:15,Ideal:81.14,Setpoint:95.50,Temperature:76.46,Duty:100.00,
Time:0:0:15,Ideal:81.14,Setpoint:95.50,Temperature:76.56,Duty:100.00,
Time:0:0:15,Ideal:81.14,Setpoint:95.50,Temperature:76.67,Duty:100.00,
Time:0:0:15,Ideal:81.14,Setpoint:95.50,Temperature:76.74,Duty:100.00,
Time:0:0:16,Ideal:83.14,Setpoint:95.50,Temperature:76.84,Duty:100.00,
Time:0:0:16,Ideal:83.14,Setpoint:95.50,Temperature:76.94,Duty:100.00,
Time:0:0:16,Ideal:83.14,Setpoint:95.50,Temperature:77.05,Duty:100.00,
Time:0:0:16,Ideal:83.14,Setpoint:95.50,Temperature:77.18,Duty:100.00,
Time:0:0:16,Ideal:83.14,Setpoint:95.50,Temperature:77.29,Duty:100.00,
Time:0:0:16,Ideal:83.14,Setpoint:95.50,Temperature:77.39,Duty:100.00,
Time:0:0:16,Ideal:83.14,Setpoint:95.50,Temperature:77.49,Duty:100.00,
Time:0:0:16,Ideal:83.14,Setpoint:95.50,Temperature:77.56,Duty:100.00,
Time:0:0:16,Ideal:83.14,Setpoint:95.50,Temperature:77.66,Duty:100.00,
Time:0:0:16,Ideal:83.14,Setpoint:95.50,Temperature:77.77,Duty:100.00,
Time:0:0:16,Ideal:83.14,Setpoint:95.50,Temperature:77.84,Duty:100.00,
Time:0:0:17,Ideal:85.14,Setpoint:95.50,Temperature:77.94,Duty:100.00,
Time:0:0:17,Ideal:85.14,Setpoint:95.50,Temperature:78.08,Duty:100.00,
